INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2882,' Essentially Mark by forced activity beyond! Beyond by airplane!',1113, '2018-05-06',1001,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6754,' Then Johnson paying economic by back control! Economic away control charter has by flees fishing.',999, '2014-04-06',4810,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2627,' Before by mainland paying the an. Flees Mr. he any activity. He by realizes mainland has? Blackmarket I activity to. To charter an initially!',2099, '2019-08-18',2781,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (7581,' He good beyond back Mr.! Money Brownstone activity away! Brownstone I slipping initially depicts the fishing fishing!',894, '2020-05-19',9751,73267); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4944,' Before customer customer the Harry activity flees economic. Charter Johnson an is control! Then good his by. Activity Johnson to initially customer Mark she. She customer economic forces she essentially the novel! Airplane control who away happened man mainland?',72, '2018-02-10',6653,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6605,' His good Harry! Harry activity his money happened. Of an airplane he away realizes is customer. Then depicts novel slipping Brownstone his the by?',686, '2019-11-30',11360,126058); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3183,' Good his Harry flees charter the! Without beyond customer his.',1567, '2019-10-02',11335,125332); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (260,' Harry then then good beyond back novel! Activity any realizes Brownstone by Mr. Mr. novel. What money mainland novel economic the! The to the by the money.',1083, '2020-12-28',3089,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5842,' Mark activity control! Control happened him owes his customer who mainland. His tricks without she into who control. His by beyond to. Harry what economic the the.',799, '2019-04-12',12000,146908); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1055,' An an he. Him by before I beyond what of fishing? The has novel charter. As money activity good before realizes. By airplane before economic. Before paying initially!',869, '2019-12-29',8148,20205); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1093,' Has the what Johnson initially away away! Is Mark what Harry money customer has back!',938, '2018-04-23',3961,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5466,' Airplane owes Brownstone activity Brownstone blackmarket has. Flees Johnson of his! Good essentially into.',1136, '2018-08-29',9205,54968); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (621,' The the money before the fishing good has! His forces charter control before mainland. Is any he.',2011, '2019-05-20',10900,110840); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2034,' Before beyond money before beyond.',1971, '2015-04-07',4728,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1396,' Back essentially back airplane.',200, '2016-04-08',5941,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (173,' Has back depicts to realizes control fishing. Is control economic he!',493, '2020-07-27',8145,20146); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (319,' The Harry he by realizes then is? By essentially slipping. Has any what! Realizes good away forced.',1387, '2020-12-25',10769,106602); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (715,' Before his activity I I tricks! Mainland depicts to depicts Johnson the! I Harry the. His the forced what by man into an. Activity customer airplane of by she.',648, '2020-11-13',11233,121646); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (83,' Forced the flees what! Forced by man beyond? An without as then Brownstone! The essentially initially! He essentially slipping beyond slipping blackmarket flees. As essentially owes the beyond by happened.',1717, '2018-08-16',6728,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5087,' Back is happened.',630, '2020-08-24',388,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (740,' By away mainland Mr. him an before owes.',1180, '2020-10-27',2013,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (198,' Back as blackmarket the fishing. I his any he depicts. Away Mr. an control his is initially of!',344, '2017-09-11',12218,154303); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5291,' Johnson Mr. by blackmarket! Is what paying forced control by forces. The before then economic owes!',708, '2019-06-01',12701,171124); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (7531,' Depicts by before back to his happened the. Without he forces. Who Mr. has has his paying. By Harry happened airplane.',1383, '2015-06-18',12752,173284); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4931,' Good any she customer what! Who slipping what! Without forces control charter. Tricks economic essentially. Paying the good Mark economic! Owes owes without!',1760, '2015-03-07',5062,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
